| ticks:1246 | x-axis=-17 | y-axis=19 | z-axis=-272 |
| ticks:1257 | x-axis=-17 | y-axis=19 | z-axis=-272 |
| ticks:1268 | x-axis=-17 | y-axis=19 | z-axis=-272 |
| ticks:1279 | x-axis=-17 | y-axis=19 | z-axis=-272 |
| ticks:1290 | x-axis=-17 | y-axis=19 | z-axis=-272 |
| ticks:1301 | x-axis=-17 | y-axis=19 | z-axis=-272 |
| ticks:1319 | x-axis=-17 | y-axis=19 | z-axis=-272 |
| ticks:1330 | x-axis=-17 | y-axis=19 | z-axis=-272 |
| ticks:1531 | x-axis=-17 | y-axis=19 | z-axis=-272 |
| ticks:1618 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:1629 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:1640 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:1651 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:1663 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:1674 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:1690 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:1701 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:1712 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:1723 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:1735 | x-axis=-18 | y-axis=19 | z-axis=-274 |
| ticks:1746 | x-axis=-18 | y-axis=19 | z-axis=-274 |
| ticks:1758 | x-axis=-18 | y-axis=19 | z-axis=-274 |
| ticks:1769 | x-axis=-18 | y-axis=19 | z-axis=-274 |
| ticks:1780 | x-axis=-18 | y-axis=19 | z-axis=-274 |
| ticks:1791 | x-axis=-18 | y-axis=19 | z-axis=-274 |
| ticks:1809 | x-axis=-18 | y-axis=19 | z-axis=-274 |
| ticks:1820 | x-axis=-18 | y-axis=19 | z-axis=-274 |
| ticks:1831 | x-axis=-18 | y-axis=19 | z-axis=-274 |
| ticks:1842 | x-axis=-18 | y-axis=19 | z-axis=-274 |
| ticks:1854 | x-axis=-19 | y-axis=20 | z-axis=-273 |
| ticks:1865 | x-axis=-19 | y-axis=20 | z-axis=-273 |
| ticks:1877 | x-axis=-19 | y-axis=20 | z-axis=-273 |
| ticks:1888 | x-axis=-19 | y-axis=20 | z-axis=-273 |
| ticks:1899 | x-axis=-19 | y-axis=20 | z-axis=-273 |
| ticks:1915 | x-axis=-19 | y-axis=20 | z-axis=-273 |
| ticks:1926 | x-axis=-19 | y-axis=20 | z-axis=-273 |
| ticks:1937 | x-axis=-19 | y-axis=20 | z-axis=-273 |
| ticks:1948 | x-axis=-19 | y-axis=20 | z-axis=-273 |
| ticks:1960 | x-axis=-19 | y-axis=20 | z-axis=-273 |
| ticks:1978 | x-axis=-17 | y-axis=19 | z-axis=-276 |
| ticks:1989 | x-axis=-17 | y-axis=19 | z-axis=-276 |
| ticks:2000 | x-axis=-17 | y-axis=19 | z-axis=-276 |
| ticks:2011 | x-axis=-17 | y-axis=19 | z-axis=-276 |
| ticks:2023 | x-axis=-17 | y-axis=19 | z-axis=-276 |
| ticks:2040 | x-axis=-17 | y-axis=19 | z-axis=-276 |
| ticks:2057 | x-axis=-17 | y-axis=19 | z-axis=-276 |
| ticks:2068 | x-axis=-17 | y-axis=19 | z-axis=-276 |
| ticks:2079 | x-axis=-17 | y-axis=19 | z-axis=-276 |
| ticks:2091 | x-axis=-17 | y-axis=19 | z-axis=-276 |
| ticks:2111 | x-axis=-19 | y-axis=18 | z-axis=-273 |
| ticks:2122 | x-axis=-19 | y-axis=18 | z-axis=-273 |
| ticks:2133 | x-axis=-19 | y-axis=18 | z-axis=-273 |
| ticks:2145 | x-axis=-19 | y-axis=18 | z-axis=-273 |
| ticks:2162 | x-axis=-19 | y-axis=18 | z-axis=-273 |
| ticks:2178 | x-axis=-19 | y-axis=18 | z-axis=-273 |
| ticks:2191 | x-axis=-19 | y-axis=18 | z-axis=-273 |
| ticks:2209 | x-axis=-19 | y-axis=18 | z-axis=-273 |
| ticks:2227 | x-axis=-19 | y-axis=18 | z-axis=-273 |
| ticks:2245 | x-axis=-19 | y-axis=18 | z-axis=-273 |
| ticks:2269 | x-axis=-18 | y-axis=20 | z-axis=-274 |
| ticks:2286 | x-axis=-18 | y-axis=20 | z-axis=-274 |
| ticks:2489 | x-axis=-18 | y-axis=20 | z-axis=-274 |
| ticks:2510 | x-axis=-18 | y-axis=20 | z-axis=-274 |
| ticks:2539 | x-axis=-18 | y-axis=20 | z-axis=-274 |
| ticks:2553 | x-axis=-18 | y-axis=20 | z-axis=-274 |
| ticks:2567 | x-axis=-18 | y-axis=20 | z-axis=-274 |
| ticks:2582 | x-axis=-18 | y-axis=20 | z-axis=-274 |
| ticks:2596 | x-axis=-18 | y-axis=20 | z-axis=-274 |
| ticks:2610 | x-axis=-18 | y-axis=20 | z-axis=-274 |
| ticks:2625 | x-axis=-17 | y-axis=19 | z-axis=-272 |
| ticks:2639 | x-axis=-17 | y-axis=19 | z-axis=-272 |
| ticks:2654 | x-axis=-17 | y-axis=19 | z-axis=-272 |
| ticks:2674 | x-axis=-17 | y-axis=19 | z-axis=-272 |
| ticks:2689 | x-axis=-17 | y-axis=19 | z-axis=-272 |
| ticks:2703 | x-axis=-17 | y-axis=19 | z-axis=-272 |
| ticks:2717 | x-axis=-17 | y-axis=19 | z-axis=-272 |
| ticks:2732 | x-axis=-17 | y-axis=19 | z-axis=-272 |
| ticks:2746 | x-axis=-17 | y-axis=19 | z-axis=-272 |
| ticks:2761 | x-axis=-17 | y-axis=19 | z-axis=-272 |
| ticks:2776 | x-axis=-18 | y-axis=20 | z-axis=-273 |
| ticks:2791 | x-axis=-18 | y-axis=20 | z-axis=-273 |
| ticks:2805 | x-axis=-18 | y-axis=20 | z-axis=-273 |
| ticks:2827 | x-axis=-18 | y-axis=20 | z-axis=-273 |
| ticks:2842 | x-axis=-18 | y-axis=20 | z-axis=-273 |
| ticks:2856 | x-axis=-18 | y-axis=20 | z-axis=-273 |
| ticks:2871 | x-axis=-18 | y-axis=20 | z-axis=-273 |
| ticks:2885 | x-axis=-18 | y-axis=20 | z-axis=-273 |
| ticks:2900 | x-axis=-18 | y-axis=20 | z-axis=-273 |
| ticks:2914 | x-axis=-18 | y-axis=20 | z-axis=-273 |
| ticks:2930 | x-axis=-18 | y-axis=21 | z-axis=-273 |
| ticks:2944 | x-axis=-18 | y-axis=21 | z-axis=-273 |
| ticks:2965 | x-axis=-18 | y-axis=21 | z-axis=-273 |
| ticks:2979 | x-axis=-18 | y-axis=21 | z-axis=-273 |
| ticks:2994 | x-axis=-18 | y-axis=21 | z-axis=-273 |
| ticks:3008 | x-axis=-18 | y-axis=21 | z-axis=-273 |
| ticks:3023 | x-axis=-18 | y-axis=21 | z-axis=-273 |
| ticks:3037 | x-axis=-18 | y-axis=21 | z-axis=-273 |
| ticks:3052 | x-axis=-18 | y-axis=21 | z-axis=-273 |
| ticks:3066 | x-axis=-18 | y-axis=21 | z-axis=-273 |
| ticks:3082 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:3096 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:3118 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:3132 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:3147 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:3161 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:3175 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:3196 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:3211 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:3225 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:3244 | x-axis=-17 | y-axis=21 | z-axis=-274 |
| ticks:3265 | x-axis=-17 | y-axis=21 | z-axis=-274 |
| ticks:3279 | x-axis=-17 | y-axis=21 | z-axis=-274 |
| ticks:3294 | x-axis=-17 | y-axis=21 | z-axis=-274 |
| ticks:3308 | x-axis=-17 | y-axis=21 | z-axis=-274 |
| ticks:3322 | x-axis=-17 | y-axis=21 | z-axis=-274 |
| ticks:3337 | x-axis=-17 | y-axis=21 | z-axis=-274 |
| ticks:3351 | x-axis=-17 | y-axis=21 | z-axis=-274 |
| ticks:3366 | x-axis=-17 | y-axis=21 | z-axis=-274 |
| ticks:3380 | x-axis=-17 | y-axis=21 | z-axis=-274 |
| ticks:3401 | x-axis=-17 | y-axis=19 | z-axis=-277 |
| ticks:3423 | x-axis=-17 | y-axis=19 | z-axis=-277 |
| ticks:3438 | x-axis=-17 | y-axis=19 | z-axis=-277 |
| ticks:3452 | x-axis=-17 | y-axis=19 | z-axis=-277 |
| ticks:3467 | x-axis=-17 | y-axis=19 | z-axis=-277 |
| ticks:3481 | x-axis=-17 | y-axis=19 | z-axis=-277 |
| ticks:3495 | x-axis=-17 | y-axis=19 | z-axis=-277 |
| ticks:3510 | x-axis=-17 | y-axis=19 | z-axis=-277 |
| ticks:3524 | x-axis=-17 | y-axis=19 | z-axis=-277 |
| ticks:3539 | x-axis=-17 | y-axis=19 | z-axis=-277 |
| ticks:3565 | x-axis=-18 | y-axis=19 | z-axis=-275 |
| ticks:3580 | x-axis=-18 | y-axis=19 | z-axis=-275 |
| ticks:3594 | x-axis=-18 | y-axis=19 | z-axis=-275 |
| ticks:3608 | x-axis=-18 | y-axis=19 | z-axis=-275 |
| ticks:3623 | x-axis=-18 | y-axis=19 | z-axis=-275 |
| ticks:3637 | x-axis=-18 | y-axis=19 | z-axis=-275 |
| ticks:3652 | x-axis=-18 | y-axis=19 | z-axis=-275 |
| ticks:3666 | x-axis=-18 | y-axis=19 | z-axis=-275 |
| ticks:3681 | x-axis=-18 | y-axis=19 | z-axis=-275 |
| ticks:3695 | x-axis=-18 | y-axis=19 | z-axis=-275 |
| ticks:3724 | x-axis=-17 | y-axis=22 | z-axis=-274 |
| ticks:3738 | x-axis=-17 | y-axis=22 | z-axis=-274 |
| ticks:3752 | x-axis=-17 | y-axis=22 | z-axis=-274 |
| ticks:3767 | x-axis=-17 | y-axis=22 | z-axis=-274 |
| ticks:3781 | x-axis=-17 | y-axis=22 | z-axis=-274 |
| ticks:3795 | x-axis=-17 | y-axis=22 | z-axis=-274 |
| ticks:3810 | x-axis=-17 | y-axis=22 | z-axis=-274 |
| ticks:3824 | x-axis=-17 | y-axis=22 | z-axis=-274 |
| ticks:3839 | x-axis=-17 | y-axis=22 | z-axis=-274 |
| ticks:3860 | x-axis=-17 | y-axis=22 | z-axis=-274 |
| ticks:3881 | x-axis=-19 | y-axis=21 | z-axis=-276 |
| ticks:3895 | x-axis=-19 | y-axis=21 | z-axis=-276 |
| ticks:3909 | x-axis=-19 | y-axis=21 | z-axis=-276 |
| ticks:3924 | x-axis=-19 | y-axis=21 | z-axis=-276 |
| ticks:3938 | x-axis=-19 | y-axis=21 | z-axis=-276 |
| ticks:3953 | x-axis=-19 | y-axis=21 | z-axis=-276 |
| ticks:3967 | x-axis=-19 | y-axis=21 | z-axis=-276 |
| ticks:3981 | x-axis=-19 | y-axis=21 | z-axis=-276 |
