| ticks:3774 | x-axis=-40 | y-axis=0 | z-axis=-274 |
| ticks:3785 | x-axis=-40 | y-axis=0 | z-axis=-274 |
| ticks:3796 | x-axis=-40 | y-axis=0 | z-axis=-274 |
| ticks:3807 | x-axis=-40 | y-axis=0 | z-axis=-274 |
| ticks:3819 | x-axis=-40 | y-axis=0 | z-axis=-274 |
| ticks:3830 | x-axis=-40 | y-axis=0 | z-axis=-274 |
| ticks:3847 | x-axis=-40 | y-axis=0 | z-axis=-274 |
| ticks:3872 | x-axis=-39 | y-axis=0 | z-axis=-273 |
| ticks:3884 | x-axis=-39 | y-axis=0 | z-axis=-273 |
| ticks:3895 | x-axis=-39 | y-axis=0 | z-axis=-273 |
| ticks:3906 | x-axis=-39 | y-axis=0 | z-axis=-273 |
| ticks:3917 | x-axis=-39 | y-axis=0 | z-axis=-273 |
| ticks:3928 | x-axis=-39 | y-axis=0 | z-axis=-273 |
| ticks:3939 | x-axis=-39 | y-axis=0 | z-axis=-273 |
| ticks:3950 | x-axis=-39 | y-axis=0 | z-axis=-273 |
| ticks:3961 | x-axis=-39 | y-axis=0 | z-axis=-273 |
| ticks:3977 | x-axis=-39 | y-axis=0 | z-axis=-273 |
| ticks:4002 | x-axis=-41 | y-axis=0 | z-axis=-270 |
| ticks:4014 | x-axis=-41 | y-axis=0 | z-axis=-270 |
| ticks:4025 | x-axis=-41 | y-axis=0 | z-axis=-270 |
| ticks:4036 | x-axis=-41 | y-axis=0 | z-axis=-270 |
| ticks:4047 | x-axis=-41 | y-axis=0 | z-axis=-270 |
| ticks:4058 | x-axis=-41 | y-axis=0 | z-axis=-270 |
| ticks:4069 | x-axis=-41 | y-axis=0 | z-axis=-270 |
| ticks:4080 | x-axis=-41 | y-axis=0 | z-axis=-270 |
| ticks:4091 | x-axis=-41 | y-axis=0 | z-axis=-270 |
| ticks:4109 | x-axis=-41 | y-axis=0 | z-axis=-270 |
| ticks:4139 | x-axis=-41 | y-axis=0 | z-axis=-272 |
| ticks:4158 | x-axis=-41 | y-axis=0 | z-axis=-272 |
| ticks:4175 | x-axis=-41 | y-axis=0 | z-axis=-272 |
| ticks:4193 | x-axis=-41 | y-axis=0 | z-axis=-272 |
| ticks:4210 | x-axis=-41 | y-axis=0 | z-axis=-272 |
| ticks:4228 | x-axis=-41 | y-axis=0 | z-axis=-272 |
| ticks:4367 | x-axis=-41 | y-axis=0 | z-axis=-272 |
| ticks:4634 | x-axis=-41 | y-axis=0 | z-axis=-272 |
| ticks:4808 | x-axis=-41 | y-axis=0 | z-axis=-272 |
| ticks:4819 | x-axis=-41 | y-axis=0 | z-axis=-272 |
| ticks:4835 | x-axis=-42 | y-axis=0 | z-axis=-273 |
| ticks:4847 | x-axis=-42 | y-axis=0 | z-axis=-273 |
| ticks:4857 | x-axis=-42 | y-axis=0 | z-axis=-273 |
| ticks:4868 | x-axis=-42 | y-axis=0 | z-axis=-273 |
| ticks:4879 | x-axis=-42 | y-axis=0 | z-axis=-273 |
| ticks:4890 | x-axis=-42 | y-axis=0 | z-axis=-273 |
| ticks:4901 | x-axis=-42 | y-axis=0 | z-axis=-273 |
| ticks:4917 | x-axis=-42 | y-axis=0 | z-axis=-273 |
| ticks:4933 | x-axis=-42 | y-axis=0 | z-axis=-273 |
| ticks:4944 | x-axis=-42 | y-axis=0 | z-axis=-273 |
| ticks:4961 | x-axis=-42 | y-axis=0 | z-axis=-273 |
| ticks:4973 | x-axis=-42 | y-axis=0 | z-axis=-273 |
| ticks:4984 | x-axis=-42 | y-axis=0 | z-axis=-273 |
| ticks:4995 | x-axis=-42 | y-axis=0 | z-axis=-273 |
| ticks:5006 | x-axis=-42 | y-axis=0 | z-axis=-273 |
